combo_index,trend_label,range_ratio,variance_ratio,variogram_type,residual_seed,residual_range_m,folder,actual_trend_to_total_var,f_regular,nugget
106,Gaussian Random Field - 1,0.2,0.7,Spherical,1406,200.0,GS_experiment_datasets/0106_Gaussian_Random_Field___1_rr0.2_vr0.7_fr0.5_Spherical,0.7384239233952944,0.5,0
107,Gaussian Random Field - 1,0.2,0.7,Spherical,1407,200.0,GS_experiment_datasets/0107_Gaussian_Random_Field___1_rr0.2_vr0.7_fr1_Spherical,0.7001253385041091,1.0,0
108,Gaussian Random Field - 2,0.1,0.4,Spherical,1408,100.0,GS_experiment_datasets/0108_Gaussian_Random_Field___2_rr0.1_vr0.4_fr0.25_Spherical,0.4009134898244654,0.25,0
109,Gaussian Random Field - 2,0.1,0.4,Spherical,1409,100.0,GS_experiment_datasets/0109_Gaussian_Random_Field___2_rr0.1_vr0.4_fr0.5_Spherical,0.40005201902315435,0.5,0
110,Gaussian Random Field - 2,0.1,0.4,Spherical,1410,100.0,GS_experiment_datasets/0110_Gaussian_Random_Field___2_rr0.1_vr0.4_fr1_Spherical,0.40064975219988724,1.0,0
111,Gaussian Random Field - 2,0.1,0.5,Spherical,1411,100.0,GS_experiment_datasets/0111_Gaussian_Random_Field___2_rr0.1_vr0.5_fr0.25_Spherical,0.5008228443377089,0.25,0
112,Gaussian Random Field - 2,0.1,0.5,Spherical,1412,100.0,GS_experiment_datasets/0112_Gaussian_Random_Field___2_rr0.1_vr0.5_fr0.5_Spherical,0.500241320465947,0.5,0
113,Gaussian Random Field - 2,0.1,0.5,Spherical,1413,100.0,GS_experiment_datasets/0113_Gaussian_Random_Field___2_rr0.1_vr0.5_fr1_Spherical,0.50006812605264,1.0,0
114,Gaussian Random Field - 2,0.1,0.6,Spherical,1414,100.0,GS_experiment_datasets/0114_Gaussian_Random_Field___2_rr0.1_vr0.6_fr0.25_Spherical,0.6048404439947698,0.25,0
115,Gaussian Random Field - 2,0.1,0.6,Spherical,1415,100.0,GS_experiment_datasets/0115_Gaussian_Random_Field___2_rr0.1_vr0.6_fr0.5_Spherical,0.6013445304387868,0.5,0
116,Gaussian Random Field - 2,0.1,0.6,Spherical,1416,100.0,GS_experiment_datasets/0116_Gaussian_Random_Field___2_rr0.1_vr0.6_fr1_Spherical,0.6000272616159836,1.0,0
117,Gaussian Random Field - 2,0.1,0.7,Spherical,1417,100.0,GS_experiment_datasets/0117_Gaussian_Random_Field___2_rr0.1_vr0.7_fr0.25_Spherical,0.7001420801603424,0.25,0
118,Gaussian Random Field - 2,0.1,0.7,Spherical,1418,100.0,GS_experiment_datasets/0118_Gaussian_Random_Field___2_rr0.1_vr0.7_fr0.5_Spherical,0.7004781072986069,0.5,0
119,Gaussian Random Field - 2,0.1,0.7,Spherical,1419,100.0,GS_experiment_datasets/0119_Gaussian_Random_Field___2_rr0.1_vr0.7_fr1_Spherical,0.7002362673087658,1.0,0
120,Gaussian Random Field - 2,0.15,0.4,Spherical,1420,150.0,GS_experiment_datasets/0120_Gaussian_Random_Field___2_rr0.15_vr0.4_fr0.25_Spherical,0.4025097952025292,0.25,0
121,Gaussian Random Field - 2,0.15,0.4,Spherical,1421,150.0,GS_experiment_datasets/0121_Gaussian_Random_Field___2_rr0.15_vr0.4_fr0.5_Spherical,0.4006005964010104,0.5,0
